MonthYear,country_code,country_name,GPI_score,gpi_predicted
201807,TS,Tunisia,2.0175,1.97340366944444
201808,TS,Tunisia,2.0204166666666667,1.98296769444444
201809,TS,Tunisia,2.023333333333333,1.99927193055556
201810,TS,Tunisia,2.02625,1.98781787777778
201811,TS,Tunisia,2.029166666666667,2.00121328888889
201812,TS,Tunisia,2.032083333333333,1.9836932361111101
201901,TS,Tunisia,2.035,2.00038955833334
201307,TD,Trinidad and Tobago,2.1,2.105136925
201308,TD,Trinidad and Tobago,2.1005000000000003,2.09560101111111
201309,TD,Trinidad and Tobago,2.101,2.09874800833333
201310,TD,Trinidad and Tobago,2.1015,2.09811644444444
201311,TD,Trinidad and Tobago,2.1020000000000003,2.1050499111111103
201312,TD,Trinidad and Tobago,2.1025,2.10214313333334
201401,TD,Trinidad and Tobago,2.103,2.10354452222222
201402,TD,Trinidad and Tobago,2.103666666666667,2.10303491944445
201403,TD,Trinidad and Tobago,2.1043333333333334,2.103039525
201404,TD,Trinidad and Tobago,2.1050000000000004,2.10312520277778
201405,TD,Trinidad and Tobago,2.105666666666667,2.10284298611111
201406,TD,Trinidad and Tobago,2.1063333333333336,2.1014023666666697
201407,TD,Trinidad and Tobago,2.1069999999999998,2.10422926944444
201408,TD,Trinidad and Tobago,2.107666666666667,2.1032035
201409,TD,Trinidad and Tobago,2.1083333333333334,2.10597520277778
201410,TD,Trinidad and Tobago,2.109,2.105185425
201411,TD,Trinidad and Tobago,2.109666666666667,2.10436553333333
201412,TD,Trinidad and Tobago,2.1103333333333336,2.09707885
201501,TD,Trinidad and Tobago,2.1109999999999998,2.10494252222222
201502,TD,Trinidad and Tobago,2.1078333333333337,2.09873466388889
201503,TD,Trinidad and Tobago,2.1046666666666667,2.10224465555555
201504,TD,Trinidad and Tobago,2.1015,2.10379602777778
201505,TD,Trinidad and Tobago,2.0983333333333336,2.10153847222222
201506,TD,Trinidad and Tobago,2.0951666666666666,2.10208596111111
201507,TD,Trinidad and Tobago,2.092,2.100542175
201508,TD,Trinidad and Tobago,2.088833333333333,2.09945211666666
201509,TD,Trinidad and Tobago,2.0856666666666666,2.09734019722222
201510,TD,Trinidad and Tobago,2.0825,2.0973254027777704
201511,TD,Trinidad and Tobago,2.079333333333333,2.0933245333333304
201512,TD,Trinidad and Tobago,2.0761666666666665,2.09581562222222
201601,TD,Trinidad and Tobago,2.073,2.09307477777778
201602,TD,Trinidad and Tobago,2.074333333333333,2.0904212666666697
201603,TD,Trinidad and Tobago,2.0756666666666668,2.08851692777778
201604,TD,Trinidad and Tobago,2.077,2.08563350833333
201605,TD,Trinidad and Tobago,2.078333333333333,2.085734975
201606,TD,Trinidad and Tobago,2.0796666666666668,2.0836131694444497
201607,TD,Trinidad and Tobago,2.081,2.08420613333333
201608,TD,Trinidad and Tobago,2.082333333333333,2.08372910277778
201609,TD,Trinidad and Tobago,2.083666666666667,2.08501791944444
201610,TD,Trinidad and Tobago,2.085,2.0838566833333303
201611,TD,Trinidad and Tobago,2.086333333333333,2.08337498888889
201612,TD,Trinidad and Tobago,2.087666666666667,2.08268679166667
201701,TD,Trinidad and Tobago,2.089,2.08513730555556
201702,TD,Trinidad and Tobago,2.086,2.08410326666667
201703,TD,Trinidad and Tobago,2.083,2.08524998055555
201704,TD,Trinidad and Tobago,2.08,2.08416075555556
201705,TD,Trinidad and Tobago,2.077,2.08447899722222
201706,TD,Trinidad and Tobago,2.074,2.08343442777778
201707,TD,Trinidad and Tobago,2.071,2.08226495
201708,TD,Trinidad and Tobago,2.068,2.08458536944444
201709,TD,Trinidad and Tobago,2.065,2.0848562638888897
201710,TD,Trinidad and Tobago,2.062,2.080995175
201711,TD,Trinidad and Tobago,2.059,2.08290153888889
201712,TD,Trinidad and Tobago,2.056,2.0770873
201801,TD,Trinidad and Tobago,2.053,2.07841353333334
201802,TD,Trinidad and Tobago,2.056416666666667,2.07043325555556
201803,TD,Trinidad and Tobago,2.059833333333333,2.07613124166667
201804,TD,Trinidad and Tobago,2.06325,2.0772145583333304
201805,TD,Trinidad and Tobago,2.0666666666666664,2.0742222333333302
201806,TD,Trinidad and Tobago,2.0700833333333333,2.07409506944445
201807,TD,Trinidad and Tobago,2.0735,2.07641016666667
201808,TD,Trinidad and Tobago,2.0769166666666665,2.07857683055556
201809,TD,Trinidad and Tobago,2.0803333333333334,2.07663527777778
201810,TD,Trinidad and Tobago,2.08375,2.07106914444445
201811,TD,Trinidad and Tobago,2.0871666666666666,2.07457513333333
201812,TD,Trinidad and Tobago,2.090583333333333,2.070873225
201901,TD,Trinidad and Tobago,2.094,2.07114432222222
201307,TI,Tajikistan,2.31,2.25123049444444
201308,TI,Tajikistan,2.3175,2.23628685555556
201309,TI,Tajikistan,2.325,2.2320381388888904
201310,TI,Tajikistan,2.3325,2.2478470472222205
201311,TI,Tajikistan,2.34,2.2516603666666697
201312,TI,Tajikistan,2.3475,2.25358560555555
201401,TI,Tajikistan,2.355,2.2672031027777795
201402,TI,Tajikistan,2.3451666666666666,2.28495396666667
201403,TI,Tajikistan,2.3353333333333333,2.26915455833333
201404,TI,Tajikistan,2.3255,2.2710809138888903
201405,TI,Tajikistan,2.3156666666666665,2.2837002527777797
201406,TI,Tajikistan,2.305833333333333,2.2928086222222204
201407,TI,Tajikistan,2.2960000000000003,2.307823375
201408,TI,Tajikistan,2.286166666666667,2.24045813055556
201409,TI,Tajikistan,2.276333333333333,2.27433068055556
201410,TI,Tajikistan,2.2665,2.2738329
201411,TI,Tajikistan,2.256666666666667,2.2567064361111098
201412,TI,Tajikistan,2.246833333333333,2.26282009722222
201501,TI,Tajikistan,2.237,2.27019735555556
201502,TI,Tajikistan,2.2425833333333336,2.2958238277777796
201503,TI,Tajikistan,2.248166666666666,2.29585143888889
201504,TI,Tajikistan,2.25375,2.2790706555555498
201505,TI,Tajikistan,2.2593333333333336,2.2738250972222205
201506,TI,Tajikistan,2.2649166666666667,2.2704652833333303
201507,TI,Tajikistan,2.2705,2.2660063861111097
201508,TI,Tajikistan,2.2760833333333337,2.292581
201509,TI,Tajikistan,2.2816666666666667,2.2845912
201510,TI,Tajikistan,2.28725,2.28134306111111
201511,TI,Tajikistan,2.2928333333333337,2.28099955
201512,TI,Tajikistan,2.2984166666666668,2.27225314166666
201601,TI,Tajikistan,2.3040000000000003,2.2778804166666697
201602,TI,Tajikistan,2.300666666666667,2.2886298138888903
201603,TI,Tajikistan,2.297333333333333,2.26500033333333
201604,TI,Tajikistan,2.294,2.27816790833333
201605,TI,Tajikistan,2.290666666666666,2.28781048611111
201606,TI,Tajikistan,2.287333333333333,2.28592319444444
201607,TI,Tajikistan,2.2840000000000003,2.27236409166667
201608,TI,Tajikistan,2.280666666666667,2.28171377777778
201609,TI,Tajikistan,2.277333333333333,2.2861491888888903
201610,TI,Tajikistan,2.274,2.28170914444445
201611,TI,Tajikistan,2.2706666666666666,2.27046795
201612,TI,Tajikistan,2.267333333333333,2.27845583888889
201701,TI,Tajikistan,2.2640000000000002,2.27611218888889
201702,TI,Tajikistan,2.26525,2.2784690861111097
201703,TI,Tajikistan,2.2665,2.27085388055556
201704,TI,Tajikistan,2.26775,2.26772231666667
201705,TI,Tajikistan,2.269,2.2787020222222205
201706,TI,Tajikistan,2.27025,2.27376593611111
201707,TI,Tajikistan,2.2715,2.26746682777778
201708,TI,Tajikistan,2.27275,2.27233490555555
201709,TI,Tajikistan,2.274,2.2711721611111098
201710,TI,Tajikistan,2.27525,2.2768597638888903
201711,TI,Tajikistan,2.2765,2.27192820833333
201712,TI,Tajikistan,2.27775,2.26982814722222
201801,TI,Tajikistan,2.279,2.27185738333333
201802,TI,Tajikistan,2.272083333333333,2.2772562
201803,TI,Tajikistan,2.2651666666666666,2.27412445
201804,TI,Tajikistan,2.25825,2.27177686388889
201805,TI,Tajikistan,2.251333333333333,2.268128025
201806,TI,Tajikistan,2.2444166666666665,2.265330575
201807,TI,Tajikistan,2.2375,2.2766062555555497
201808,TI,Tajikistan,2.2305833333333336,2.27498114166667
201809,TI,Tajikistan,2.223666666666667,2.27065874166667
201810,TI,Tajikistan,2.21675,2.27257261111111
201811,TI,Tajikistan,2.209833333333333,2.26930438888889
